Label,SRE0,SRE45,SRE90,SRE135,LRE0,LRE45,LRE90,LRE135,GLN0,GLN45,GLN90,GLN135,RLN0,RLN45,RLN90,RLN135,RP0,RP45,RP90,RP135,LGLRE0,LGLRE45,LGLRE90,LGLRE135,HGL0,HGL45,HGL90,HGL135,SRLGLE0,SRLGLE45,SRLGLE90,SRLGLE135,SRHGLE0,SRHGLE45,SRHGLE90,SRHGLE135,LRLGLE0,LRLGLE45,LRLGLE90,LRLGLE135,LRHGLE0,LRHGLE45,LRHGLE90,LRHGLE135
0,0.90885458,0.93570709,0.9221586,0.93299172,2.61531817,1.60497095,2.28688256,1.69622448,267.39686802,298.48908522,273.25798713,293.84441824,42294.06044276,49355.48839768,45200.7986043,48601.64997138,0.81263733,0.88772583,0.83963013,0.87983704,0.0026246,0.00260699,0.00270399,0.00263309,17764.48329797,17976.10558974,17902.94051903,17975.58961863,0.00246396,0.00257102,0.00263239,0.00259891,16026.72021537,16763.37929205,16460.98330984,16709.34519971,1.,1.,1.,1.,51668.96785399,30276.29610849,44330.09164758,32000.44364475
0,0.86828909,0.90637105,0.88391172,0.90304062,3.02070294,1.81365878,2.30975842,1.85963261,474.50617878,555.48784966,510.59060301,550.70033481,35575.62670518,43664.94769054,39038.26840403,43054.26164148,0.79477041,0.88574617,0.83816964,0.88097895,0.00022352,0.00021474,0.00021325,0.00021495,24010.14919355,23886.80170645,23983.2081225,23687.91155552,0.0002049,0.00020212,0.00019318,0.00020172,21133.61905603,21858.98574645,21387.90575781,21485.17461249,1.,1.,1.,1.,67854.16799069,40961.70903985,50673.00840784,42239.25132567
0,0.93397228,0.96556671,0.96059636,0.96489591,1.94994563,1.1955836,1.26646819,1.21205962,285.27163352,318.92506277,316.6434835,318.04971609,48226.99393174,56825.23662525,55502.48587047,56605.35723964,0.8734375,0.95177696,0.94159007,0.94963235,0.00045639,0.00046311,0.00046508,0.00047329,22170.70460206,23340.90879096,23362.19270503,23297.00898503,0.00040266,0.00043757,0.00044013,0.00045486,20142.85522763,22342.60125664,22296.66921352,22275.5298523,1.,1.,1.,1.,57986.04666947,29620.54762441,31773.65078823,30308.14306685
0,0.96046256,0.97084641,0.95964087,0.97102642,1.18721152,1.12637546,1.21079804,1.12749504,1222.54694813,1247.74100891,1219.55967891,1246.94350139,55853.73222298,58306.85998507,55583.39806438,58336.71760222,1.28062996,1.30164931,1.2770544,1.30156663,0.0003011,0.00030078,0.00030096,0.00030129,4640.73236823,4630.28666698,4639.41808413,4626.98861453,0.00028936,0.00029195,0.00028894,0.00029287,4483.69480239,4515.23174873,4475.1805957,4510.00923493,1.,1.,1.,1.,5377.60144928,5126.2508614,5461.45024195,5136.81062326
0,0.87658166,0.92195983,0.90190201,0.92060713,2.89450258,1.48603757,1.80703811,1.61744943,322.16262784,372.71326561,354.43417327,372.03989641,36896.25690886,47368.46654708,43059.31936653,46606.05099041,0.77742064,0.89162463,0.85262365,0.87887549,0.00038154,0.00035457,0.00036148,0.0003567,20246.37959684,19667.6154682,19734.21246009,19854.5111465,0.00036162,0.00034253,0.00034375,0.00034475,17976.72173682,18390.79607998,18104.26001308,18563.38400536,1.,1.,1.,1.,43598.03722973,27377.46364938,33659.08233978,28476.13074823
0,0.96541022,0.97285698,0.96339072,0.97558621,1.16341084,1.12074784,1.17993085,1.10490283,401.54152978,405.17111622,400.41259146,406.81313099,56978.71753658,58755.88644538,56486.07855592,59424.91074584,1.1337391,1.14671148,1.12981468,1.15174419,0.00060162,0.00061561,0.00059765,0.00061293,9806.20066986,9781.59198289,9782.94609633,9787.63728862,0.00056448,0.00058982,0.00055935,0.00058676,9486.20358319,9523.36509656,9429.21054435,9560.00543707,1.,1.,1.,1.,11241.61696127,10911.12093797,11433.29124387,10742.05369763
0,0.92662978,0.88414147,0.87461237,0.88524468,14.17366896,2.11892138,2.36580978,2.14336701,259.02376856,320.15546887,311.79359369,320.28120102,36899.32279971,39340.8766096,37570.76904776,39555.13063922,0.67407227,0.80578613,0.78886414,0.80802917,0.0007755,0.00072436,0.00073302,0.00072828,28820.46885187,30366.80487805,30356.63761388,30319.02113115,0.00069769,0.00071079,0.00071469,0.00071889,26162.37660364,25938.86258123,25644.79657154,25898.04758836,1.,1.,1.,1.,541642.85105034,75676.14535676,84893.66869765,77154.23314135
0,0.92370975,0.93783922,0.92715301,0.93585326,2.80923043,1.88320276,3.00661206,2.16241563,328.46037778,356.15980668,328.88384822,347.37960924,44732.74846897,48954.92793956,45297.91430041,47914.75992895,0.83372293,0.88141302,0.8373216,0.86583415,0.00090349,0.00089659,0.00083144,0.00090039,17391.75088541,18836.5409244,17432.52360137,18114.08834813,0.00085083,0.00086308,0.00073513,0.00085734,14547.75039152,16294.97831501,14710.23141899,15467.80116104,1.,1.,1.,1.,112954.40354534,64515.41948598,124499.38307681,79939.23753108
0,0.96725996,0.97645886,0.96481994,0.97553439,1.18380372,1.12622096,1.25911572,1.12389087,665.62309173,675.89619093,659.79630527,675.55319889,57252.7403143,59487.07583373,56498.68814391,59300.27968367,0.96664187,0.98074777,0.95991443,0.98005022,0.00121382,0.00123041,0.0012226,0.00123343,4595.58784477,4573.54746325,4607.7240093,4572.37485172,0.00116783,0.00120811,0.00118037,0.00121207,4497.84000238,4507.75429157,4497.79452031,4503.23973205,1.,1.,1.,1.,5039.32039769,4865.80303461,5156.9361496,4875.91680506
0,0.75953102,0.839721,0.82283389,0.83501097,20.33667258,2.3215669,2.61346241,2.37021825,270.29248034,487.99536797,463.66741136,480.82072964,16943.42607152,33080.41676317,30555.43912126,32404.26814045,0.48703063,0.77331398,0.7463871,0.76686018,0.00032654,0.00022633,0.00023154,0.00023076,21895.0851192,21318.24519826,21292.98098962,21308.24603366,0.0003097,0.00021322,0.00021743,0.0002196,16411.89079116,18142.98994504,17744.11361957,18008.4301104,1.,1.,1.,1.,328929.12639488,45901.72281676,51957.95149146,46830.07515906
0,0.93262433,0.95813449,0.94355204,0.95581928,1.68275434,1.30619914,1.5088086,1.35256368,288.40666506,310.75886409,298.60335148,306.38076746,48772.61482734,54899.58851018,51294.40934302,54221.78565787,0.89157849,0.9412217,0.91223241,0.93460876,0.00675608,0.00746837,0.00655757,0.00732655,16588.62417635,16113.94487108,16349.54045215,16236.02125979,0.0051877,0.00649925,0.00534662,0.00624046,15924.29842628,15719.19979503,15779.47673844,15850.89645924,1.,1.,1.,1.,20397.70950771,18028.87534721,19454.28206079,18191.94808464
0,0.96090543,0.96833093,0.96072165,0.96779037,2.59358182,1.42051391,1.50767759,1.43284993,282.02381902,287.05161836,283.46626313,286.71702786,54400.48508405,56630.16554653,54781.51914037,56485.69995112,0.92224265,0.94134498,0.9287837,0.94010417,0.00052292,0.00051771,0.00050512,0.0005173,18534.5985981,18855.09623928,18953.02285959,18842.09054913,0.0005076,0.00050547,0.00047905,0.0005047,17531.45181061,17966.9311454,17994.16220109,17937.93861212,1.,1.,1.,1.,113487.26242442,40798.29960456,43553.94222427,41334.89951116
0,0.91509619,0.93325931,0.91646847,0.9326138,2.37271318,1.67271536,2.4187385,1.67076982,280.15115367,311.16914479,287.26676138,310.4834867,44158.61170999,48835.37654811,44358.80671366,48721.87077672,0.85322771,0.90223481,0.85444161,0.90144111,0.00119955,0.00144718,0.0011955,0.00143989,17230.10126767,16511.5611481,17111.5982551,16520.77910329,0.0008622,0.00114177,0.00089387,0.00113105,16634.61681827,16037.66380655,16452.28098573,16041.82382532,1.,1.,1.,1.,20979.90850889,18980.54241557,21219.27814509,18967.89969442
0,0.98837648,0.98838614,0.98697372,0.98808146,1.04853285,1.04762643,1.05400957,1.04877671,857.45057585,857.87925236,856.30874588,857.32828925,62552.93843101,62561.23334315,62205.76144481,62485.88898881,1.272747,1.27294429,1.27043876,1.27245107,0.00017295,0.0001729,0.00017303,0.000173,7684.92878955,7685.19095516,7681.39323871,7682.27003938,0.00017104,0.00017096,0.00017094,0.00017108,7602.23188576,7602.94606144,7585.2957746,7595.41715807,1.,1.,1.,1.,8029.40015191,8022.66500318,8078.49540344,8037.07907222
0,0.94571471,0.95807885,0.94362125,0.95791248,1.2967193,1.2002721,1.30367274,1.19846475,1364.6284636,1409.71258969,1364.36913175,1412.44954574,52442.4315556,55311.14803777,52030.15759265,55289.73218999,0.9671811,0.98842533,0.96506788,0.98855341,9.14455686e-05,9.09684501e-05,9.14883051e-05,9.09559978e-05,15501.0404542,15490.90168608,15495.72479347,15489.51793551,8.76220078e-05,8.80030414e-05,8.75082926e-05,8.79690260e-05,14686.91024526,14865.08827061,14646.9397237,14860.19396084,1.,1.,1.,1.,19918.76066806,18472.82825027,20042.81773996,18448.47869601
0,0.93987139,0.94610902,0.93018222,0.94509337,9.55013132,2.34981161,2.83696403,2.29742892,391.28141128,408.08589171,386.18161981,408.65690946,46795.6634709,49999.36889478,46073.26668364,49835.89103,0.83079529,0.87475586,0.83914185,0.87419128,0.00057758,0.00053908,0.00056806,0.0005561,16811.0946976,17133.9206496,16986.8872968,17142.73887696,0.00056922,0.00051797,0.00055333,0.00054748,15346.52796398,15854.51733707,15488.36509542,15826.16899843,1.,1.,1.,1.,68453.10272375,34994.77766536,45022.64854348,33680.69078913
